,names,scores,logfoldchanges,pvals,pvals_adj
248,HIST1H1C,14.982953,1.620503,9.490507580749794e-51,8.784488252095585e-49
249,SP100,14.969695,1.5110153,1.158509417033237e-50,1.0681366316498238e-48
250,ZNF595,14.95492,2.6639214,1.446565107272893e-50,1.3285321489090309e-48
251,S100A10,14.926755,1.5605932,2.2074908128759515e-50,2.0195118471438403e-48
252,SNRPB,14.917267,1.3154113,2.544852340370371e-50,2.3191563625390686e-48
253,OPA1,14.910121,1.8688258,2.832378790545814e-50,2.571255253586648e-48
254,TSPO,14.881303,2.6592355,4.359280733275712e-50,3.9422261742339703e-48
255,RSRC1,14.853361,1.6047124,6.616641762845061e-50,5.96078608887145e-48
256,SH3BGRL3,14.821532,2.1382186,1.0633079005435778e-49,9.542683032901167e-48
257,PFN1,14.8140335,2.1921656,1.1888736212139654e-49,1.0629160636936827e-47
258,UCP2,14.801116,1.5674543,1.4407225131138967e-49,1.2832216406425397e-47
259,CNR1,14.789508,2.0688794,1.7120209430177252e-49,1.5191289593250891e-47
260,ROMO1,14.737825,1.4939078,3.6846061815270544e-49,3.2572194645162195e-47
261,DOCK10,14.73365,2.547089,3.919501674169269e-49,3.451940224455868e-47
